id,Name,City,Country
1,Thieme Verlag,Stuttgart,unbekannt
2,Urban & Fischer,München/Jena,
3,Elsevier,München/Jena,
4,Lonely Planet,Victoria,
5,R. Oldenbourg,München/Wien,
6,Reise Know-How Verlag Peter Rump,Bielefeld,
7,Arrow Books,London,
8,Weltbild,Augsburg,
9,Verlag Moderne Industrie,Landsberg am Lech,
10,Verlag Neue Wirtschafts Briefe,Herne,
11,Ballantine Books,New York,
12,Heyne Verlag,München,
13,Time Warner Book,"New York, Boston",
14,Philipp Reclam Verlag,Stuttgart,
15,C. H. Beck Verlag,München,
16,Hanser Verlag,"München, Wien",
17,Taschen Verlag,Köln,
18,Penguin Books,New York,
19,Knaur Verlag,München,
20,Springer Verlag,Berlin/Heidelberg,
21,Piper Verlag,München/Zürich,
22,Verlag Süddeutsche Zeitung,München,
23,DuMont Buchverlag,Köln,
24,ADAC Verlag,München,
25,Ravensburgrer Buchverlag,Ravensburg,
26,Ernst Klett Verlag,Stuttgart,
27,Blanvalet,München,
28,Goldmann Verlag,München,
29,Fachbuchverlag Leipzig (Hanser),München/Wien,
30,Erich Fleischer Verlag,Achim,
31,Spektrum Akademischer Verlag,Heidelberg/Berlin,
32,Lehmanns Media Verlag,Berlin,
33,Verlag Wissenschaft und Praxis,Sternefels,
34,Bantam Dell Books,New York,
35,Rowohlt,Reinbek,
36,Zweitausendeins,Frankfurt,
37,Suhrkamp Verlag,Frankfurt,
38,Schattauer,Stuttgart/New York,
39,Diogenes Verlag,Zürich,
40,Ewald von Kleist Verlag,Berlin,
41,Lübbe Verlag,Bergisch Gladbach,
42,List Verlag,Berlin,
43,Erich Schmidt Verlag,Berlin,
44,Kiehl Verlag,Ludwigshafen,
45,Börm Bruckmeier Verlag,Grünwald,
46,Wiley-VCH-Verlag,Weinheim,
47,Vintage Books,New York,
48,Compact Verlag,München,
49,Nicol Verlag,Hamburg,
50,Wissen Media Verlag,Gütersloh,
51,Ecomed Verlag,Landsberg,
52,Verlagsgesellschaft Stumpf+Kossendey,Edewecht,
53,Medi-Learn Verlag,Marburg,
54,Carl Heymanns Verlag,Köln,
55,McGraw Hill,New York/Chicago,
56,Krause und Pachernegg,Gablitz,
57,Fischer Taschenbuch Verlag,Frankfurt,
58,Motorbuch Verlag,Stuttgart,
59,Callwey Verlag,München,
60,Parragon Books,Bath,UK
61,Pantheon Verlag,München,
62,UNI-MED-Verlag,Bremen,
63,Grove Press,New York,
64,Gerstenberg Verlag,Hildesheim,
65,Campus Verlag,Frankfurt,
66,Deutsche Verlags-Anstalt,München,
67,Kiepenheuer & Witsch,Köln,
68,Facultas Verlag,Wien,
69,Hallwag Verlag,München,
70,Editions Terrail,Paris,
71,Diamed Verlag,Düsseldorf,
72,Hippokrates Verlag,Stuttgart,
73,Bund Verlag,Frankfurt,
74,Alpmann&Schmidt,Münster,
75,Carl Heymanns,Köln,
76,Haus Publishing,London,
77,BLV-Verlagsanstalt,München,
78,Aufbau Verlag,Berlin,
