SignatureId,ParentId,Signature,Info,Sort
1,,AGRA,Agrarwissenschaften,
2,,ALLG,Allgemeines; Lexika; Nachschlagewerke;,
3,,ALTE,Altertumswissenschaft; Archäologie,
4,,ARCH,Architektur,
5,,ASTR,Astronomie,
6,,BETR,Betriebswirtschaft,
7,,BIOL,Biologie,
8,,CHEM,Chemie,
9,,ERNÄ,Ernährung,
10,,EROT,Erotika,
11,,ESOT,Esoterik,
12,,FRSP,Fremdsprachen,
13,,GEOL,Geologie,
14,,GEOG,Geografie,
15,,GESC,Geschichte,
16,,GESU,Gesundheitswesen,
17,,HOBB,Freizeit; Hobby,
18,,INFO,Informatik,
19,,INGE,Ingenieurwissenschaften,
20,,JAGD,Jagd,
21,,KIND,Kinderbücher,
22,,KUNS,Kunst,
23,,LITE,Literatur,
24,,LITF,Fremdsprachige Literatur,
25,,LITW,Literaturwissenschaft,
26,,LUFT,Luftfahrt,
27,,MATH,Mathematik,
28,,MEDI,Medizin,
29,,MILI,Militär,
30,,MUSI,Musik,
31,,PÄDA,Pädagogik,
32,,PHAR,Pharmazie,
33,,PHIL,Philosophie,
34,,PHYS,Physik,
35,,POLI,Politik,
36,,PSYC,Psychologie,
37,,RATG,Ratgeber,
38,,RECH,Rechtswissenschaft,
39,,REIS,Reisen; Reiseführer,
40,,RELI,Religionen,
41,,SOZI,Sozialwissenschaften,
42,,SPOR,Sport,
43,,SPRA,Sprachwissenschaft / Linguistik,
44,,STEU,Steuern,
45,,TECH,Technik,
46,,THEA,Theaterwissenschaften,
47,,TIER,Tiere,
48,,VETE,Tiermedizin,
49,,VOLK,Volkswirtschaft,
50,,WIRT,Wirtschaft (Allgemein; Ohne BWL und VWL),
51,,CDXX,CD,
52,,DVDX,DVD,
53,1,ALLG,Allgemeines,A
54,1,BIOL,Biologische Landwirtschaft,A
55,1,LAND,Landwirtschaft,A
56,1,OBSB,Obstbau/Obstbaumschnitt,A
57,1,VIEH,Viehwirtschaft,A
58,2,NACH,Nachschlagewerke,A
59,2,LEXI,Lexika,A
60,3,ALLG,Allgemeines,A
61,3,ACHÄ,Archäologie,A
62,4,ALLG,Allgemeines,A
63,4,ARCH,Architekten,A
64,4,ARCE,Architektur-Entwicklung,A
65,4,BILD,Bildbände,A
66,4,ENTW,Entwurfslehre,A
67,4,GART,Gartenarchitektur / Gartengestaltung,A
68,4,HAUS,Haustechnik,A
69,4,INDU,Industriebau,A
70,4,INNE,Innenarchitektur,A
71,4,SAKR,Sakralbau,A
72,4,SCHL,Schlösser,A
73,4,UMBA,Umbau; Renovierung,A
74,4,VERK,Verkehrsbau; Flughäfen; Bahnhöfe;,A
75,4,WOHN,Wohnbau,A
76,5,ALLG,Allgemeines,A
77,6,ALLG,Allgemeines,A
78,6,BANK,Bankbetriebslehre,A
79,6,BILA,Bilanzen,A
80,6,BUCH,Buchführung,A
81,6,CHAN,Change Management,A
82,6,ENTS,Entscheidungslehre,A
83,6,FALL,Fallstudien,A
84,6,FINA,Finanzwirtschaft,A
85,6,HAND,Handelsbetriebslehre,A
86,6,INDU,Industriebetriebslehre,A
87,6,INVE,Investition,A
88,6,INNO,Innovation,A
89,6,KORE,Kostenrechnung,A
90,6,LOGI,Logistik,A
91,6,MARK,Marketing,A
92,6,MATE,Materialwirtschaft,A
93,6,OPER,Operative Planung,A
94,6,PERS,Personalwirtschaft,A
95,6,PROD,Produktionswirtschaft,A
96,6,QUAL,Qualitätsmanagement,A
97,6,RECH,Rechnungslegung/Bilanzen,A
98,6,RISI,Risikomanagement,A
99,6,STRA,Strategische Führung,A
100,6,UNTE,Unternehmensführung,A
101,7,ALLG,Allgemeines,A
102,7,BOTA,Botanik,A
103,7,ZOOL,Zoologie,A
104,8,ALLG,Allgemeines,A
105,8,ANOR,Anorganische Chemie,A
106,8,BIOC,Biochemie,A
107,8,EXPE,Experimentelle Chemie,A
108,8,ORGA,Organische Chemie,A
109,9,ALLG,Allgemeines,A
110,9,BIER,Bier,A
111,9,DIÄT,Diäten,A
112,9,ERNÄ,Ernährungslehre,A
113,9,FETT,Fett,A
114,9,GEMÜ,Gemüse/Gemüsesorten,A
115,9,GETR,Getränke ,A
116,9,GRILL,Grillen,A
117,9,KOCH,Kochbücher,A
118,9,OBST,Obst,A
119,9,PILZ,Pilze,A
120,9,TABE,Tabellen,A
121,9,WEIN,Wein,A
122,9,WHIS,Whisky,A
123,10,ALLG,Allgemeines,A
124,10,BILD,Bildbände,A
125,10,LITE,Erotische Literatur,A
126,11,ASTR,Astrologie,A
127,11,ESOT,Esoterik,A
128,11,HEXE,Hexen,A
129,11,HORO,Horoskope,A
130,11,MEDI,Meditation,A
131,11,MYTH,Mythologie,A
132,11,SCHA,Schamanimus,A
